Time,Name,Unit,Year,Month,Day,Hour,Consumption,Temp_outside,Käyttötarkoitus,Bruttoala,Kerrosala,Huoneistoala,Kokonaistilavuus,Rakennustyyppi,ids
2022-12-05 20:00:00.000,Lämpö,MWh,2022,12,5,20,0.0947402135231317,0.3,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2023-09-28 19:00:00.000,Lämpö,MWh,2023,9,28,19,0.044,12,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2022-10-11 21:00:00.000,Lämpö,MWh,2022,10,11,21,0.036,7.2,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2022-04-30 03:00:00.000,Lämpö,MWh,2022,4,30,3,0.057,2.2,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2023-02-17 11:00:00.000,"Sähkö, Pätö",kWh,2023,2,17,11,98.8499110169492,1.2,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2021-09-19 08:00:00.000,Lämpö,MWh,2021,9,19,8,0.035,7.8,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-11-05 14:00:00.000,"Sähkö, Pätö",kWh,2020,11,5,14,16.0600000000559,8.1,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-05-15 16:00:00.000,"Sähkö, Pätö",kWh,2020,5,15,16,11.4409999999916,5.9,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-07-28 11:00:00.000,"Sähkö, Pätö",kWh,2020,7,28,11,7.26500000001397,21.1,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-11-25 05:00:00.000,Lämpö,MWh,2020,11,25,5,0.206,-0.2,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2023-08-09 11:00:00.000,Lämpö,MWh,2023,8,9,11,0.01,21.3,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2022-11-29 01:00:00.000,Lämpö,MWh,2022,11,29,1,0.094,-0.3,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2023-06-22 14:00:00.000,"Sähkö, Pätö",kWh,2023,6,22,14,16.8929999998026,17.6,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2023-06-24 18:00:00.000,Lämpö,MWh,2023,6,24,18,0.01,14.2,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-04-02 03:00:00.000,"Sähkö, Pätö",kWh,2020,4,2,3,39.9840000000549,-2.5,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2021-02-25 13:00:00.000,Lämpö,MWh,2021,2,25,13,0.103,2.5,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-11-10 23:00:00.000,"Sähkö, Pätö",kWh,2020,11,10,23,8.90299999993294,0.3,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2023-06-17 02:00:00.000,"Sähkö, Pätö",kWh,2023,6,17,2,23.079000000013,13.8,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2023-09-14 01:00:00.000,"Sähkö, Pätö",kWh,2023,9,14,1,27.7209999999963,6.8,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2022-03-16 07:00:00.000,Lämpö,MWh,2022,3,16,7,0.138,-2,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-05-11 15:00:00.000,"Sähkö, Pätö",kWh,2020,5,11,15,9.11600000003818,5.7,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2023-01-01 11:00:00.000,Lämpö,MWh,2023,1,1,11,0.166,-0.3,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2022-01-30 07:00:00.000,"Sähkö, Pätö",kWh,2022,1,30,7,13.686999999918,-2.1,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-09-30 04:00:00.000,"Sähkö, Pätö",kWh,2020,9,30,4,83.9820000000764,-,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2023-06-12 11:00:00.000,Lämpö,MWh,2023,6,12,11,0.011,21.6,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2022-07-13 15:00:00.000,Lämpö,MWh,2022,7,13,15,0.008,23.2,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2023-01-24 11:00:00.000,"Sähkö, Pätö",kWh,2023,1,24,11,59.652999999933,-0.7,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-02-07 01:00:00.000,"Sähkö, Pätö",kWh,2020,2,7,1,16.4120000000112,-12,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2023-01-27 05:00:00.000,Lämpö,MWh,2023,1,27,5,0.223,-5.9,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-25 01:00:00.000,"Sähkö, Pätö",kWh,2020,1,25,1,16.9470000000438,0.3,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2023-06-02 01:00:00.000,"Sähkö, Pätö",kWh,2023,6,2,1,28.2289999999478,4.3,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2023-04-28 15:00:00.000,"Sähkö, Pätö",kWh,2023,4,28,15,21.2129999998398,6.1,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-08-31 08:00:00.000,"Sähkö, Pätö",kWh,2020,8,31,8,84.4949999999953,15.8,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2022-01-16 01:00:00.000,Lämpö,MWh,2022,1,16,1,0.056,0.4,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2021-07-01 13:00:00.000,"Sähkö, Pätö",kWh,2021,7,1,13,9.91200000001118,21.2,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2022-11-29 22:00:00.000,Lämpö,MWh,2022,11,29,22,0.117714285714286,-0.3,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2023-04-26 11:00:00.000,Lämpö,MWh,2023,4,26,11,0.103,9.9,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2022-08-06 12:00:00.000,"Sähkö, Pätö",kWh,2022,8,6,12,4.58899999991991,17,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2023-02-06 22:00:00.000,Lämpö,MWh,2023,2,6,22,0.15,1,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2023-07-06 15:00:00.000,"Sähkö, Pätö",kWh,2023,7,6,15,24.5379999998398,16,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2022-06-26 17:00:00.000,Lämpö,MWh,2022,6,26,17,0.008,25.5,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-08-01 12:00:00.000,"Sähkö, Pätö",kWh,2020,8,1,12,11.0690000000177,20.3,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2022-02-17 20:00:00.000,Lämpö,MWh,2022,2,17,20,0.078,-3.5,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
