Time,Name,Unit,Year,Month,Day,Hour,Consumption,Temp_outside,Käyttötarkoitus,Bruttoala,Kerrosala,Huoneistoala,Kokonaistilavuus,Rakennustyyppi,ids
2020-01-02 10:00:00,Lämpö,MWh,2020,1,2,10,0.1,3.8,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-02 11:00:00,Lämpö,MWh,2020,1,2,11,0.089,4,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-02 12:00:00,Lämpö,MWh,2020,1,2,12,0.096,4.2,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-02 13:00:00,Lämpö,MWh,2020,1,2,13,0.095,4.5,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-02 14:00:00,Lämpö,MWh,2020,1,2,14,0.084,4.8,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-02 15:00:00,Lämpö,MWh,2020,1,2,15,0.092,4.8,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-02 16:00:00,Lämpö,MWh,2020,1,2,16,0.084,5.1,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-02 17:00:00,Lämpö,MWh,2020,1,2,17,0.093,5,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-02 18:00:00,Lämpö,MWh,2020,1,2,18,0.1,5.3,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-02 19:00:00,Lämpö,MWh,2020,1,2,19,0.104,6,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-02 20:00:00,Lämpö,MWh,2020,1,2,20,0.083,5.6,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-02 21:00:00,Lämpö,MWh,2020,1,2,21,0.094,5.5,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-02 22:00:00,Lämpö,MWh,2020,1,2,22,0.082,5.6,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-02 23:00:00,Lämpö,MWh,2020,1,2,23,0.09,5.4,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-03 00:00:00,Lämpö,MWh,2020,1,3,0,0.089,6,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-03 01:00:00,Lämpö,MWh,2020,1,3,1,0.107,5.8,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-03 02:00:00,Lämpö,MWh,2020,1,3,2,0.089,5.7,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-03 03:00:00,Lämpö,MWh,2020,1,3,3,0.103,6,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-03 04:00:00,Lämpö,MWh,2020,1,3,4,0.11,5.9,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-03 05:00:00,Lämpö,MWh,2020,1,3,5,0.091,5.8,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-03 06:00:00,Lämpö,MWh,2020,1,3,6,0.106,5.9,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-03 07:00:00,Lämpö,MWh,2020,1,3,7,0.103,6,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-03 08:00:00,Lämpö,MWh,2020,1,3,8,0.103,5.8,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-03 09:00:00,Lämpö,MWh,2020,1,3,9,0.103,6.2,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-03 10:00:00,Lämpö,MWh,2020,1,3,10,0.098,6.3,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-03 11:00:00,Lämpö,MWh,2020,1,3,11,0.083,5,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-03 12:00:00,Lämpö,MWh,2020,1,3,12,0.115,4.1,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-03 13:00:00,Lämpö,MWh,2020,1,3,13,0.094,3.6,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-03 14:00:00,Lämpö,MWh,2020,1,3,14,0.098,3.2,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-03 15:00:00,Lämpö,MWh,2020,1,3,15,0.106,2.5,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-03 16:00:00,Lämpö,MWh,2020,1,3,16,0.113,2.4,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-03 17:00:00,Lämpö,MWh,2020,1,3,17,0.107,2,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-03 18:00:00,Lämpö,MWh,2020,1,3,18,0.12,1,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-03 19:00:00,Lämpö,MWh,2020,1,3,19,0.103,1.7,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-03 20:00:00,Lämpö,MWh,2020,1,3,20,0.112,1.3,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-03 21:00:00,Lämpö,MWh,2020,1,3,21,0.127,1.3,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-03 22:00:00,Lämpö,MWh,2020,1,3,22,0.106,1,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
